Match ID,Group,Team 1,Team 2,Assigned Stadium,Assigned City
A1,A,Morocco,Zambia,Rabat Olympic Stadium,Rabat
A2,A,Morocco,Mali,Prince Moulay Abdellah Sports Complex,Rabat
A3,A,Morocco,Comoros,Stade Al Medina,Rabat
A4,A,Zambia,Mali,Mohammed V Complex,Casablanca
A5,A,Zambia,Comoros,Mohammed V Complex,Casablanca
A6,A,Mali,Comoros,Mohammed V Complex,Casablanca
B1,B,Angola,South Africa,Grand Stadium of Marrakesh,Marrakesh
B2,B,Angola,Egypt,Grand Stadium of Agadir,Agadir
B3,B,Angola,Zimbabwe,Grand Stadium of Marrakesh,Marrakesh
B4,B,South Africa,Egypt,Grand Stadium of Agadir,Agadir
B5,B,South Africa,Zimbabwe,Grand Stadium of Marrakesh,Marrakesh
B6,B,Egypt,Zimbabwe,Grand Stadium of Agadir,Agadir
C1,C,Nigeria,Tunisia,Grand Stadium of Fez,Fez
C2,C,Nigeria,Uganda,Grand Stadium of Fez,Fez
C3,C,Nigeria,Tanzania,Grand Stadium of Fez,Fez
C4,C,Tunisia,Uganda,Rabat Olympic Stadium,Rabat
C5,C,Tunisia,Tanzania,Rabat Olympic Stadium,Rabat
C6,C,Uganda,Tanzania,Rabat Olympic Stadium,Rabat
D1,D,Senegal,Congo,Prince Moulay Abdellah Sports Complex,Rabat
D2,D,Senegal,Benin,Grand Stadium of Tangier,Tangier
D3,D,Senegal,Botswana,Grand Stadium of Tangier,Tangier
D4,D,Congo,Benin,Rabat Olympic Stadium,Rabat
D5,D,Congo,Botswana,Rabat Olympic Stadium,Rabat
D6,D,Benin,Botswana,Rabat Olympic Stadium,Rabat
E1,E,Algeria,Burkina Faso,Rabat Olympic Stadium,Rabat
E2,E,Algeria,Equatorial Guinea,Moulay El Hassan II Stadium,Rabat
E3,E,Algeria,Sudan,Stade Al Medina,Rabat
E4,E,Burkina Faso,Equatorial Guinea,Mohammed V Complex,Casablanca
E5,E,Burkina Faso,Sudan,Mohammed V Complex,Casablanca
E6,E,Equatorial Guinea,Sudan,Mohammed V Complex,Casablanca
F1,F,Cote d'Ivoire,Cameroon,Grand Stadium of Marrakesh,Marrakesh
F2,F,Cote d'Ivoire,Gabon,Grand Stadium of Marrakesh,Marrakesh
F3,F,Cote d'Ivoire,Mozambique,Grand Stadium of Marrakesh,Marrakesh
F4,F,Cameroon,Gabon,Grand Stadium of Agadir,Agadir
F5,F,Cameroon,Mozambique,Grand Stadium of Agadir,Agadir
F6,F,Gabon,Mozambique,Grand Stadium of Agadir,Agadir
