Team,Base City,Total Travel Time (hours)
Botswana,Rabat,5.66
Benin,Rabat,5.66
Senegal,Tangier,5.66
Angola,Marrakesh,5.24
Mozambique,Agadir,5.24
South Africa,Marrakesh,5.24
Gabon,Agadir,5.24
Cameroon,Agadir,5.24
Zimbabwe,Marrakesh,5.24
Tanzania,Rabat,4.8
Tunisia,Rabat,4.8
Uganda,Rabat,4.8
Equatorial Guinea,Casablanca,2.74
Mali,Casablanca,2.74
Burkina Faso,Casablanca,2.74
Comoros,Casablanca,2.74
Sudan,Casablanca,2.74
Zambia,Casablanca,2.74
Congo,Rabat,0.0
Algeria,Rabat,0.0
Nigeria,Fez,0.0
Morocco,Rabat,0.0
Egypt,Agadir,0.0
Cote d'Ivoire,Marrakesh,0.0
