Team,Base City,Round,Match ID,Assigned Stadium,Assigned City,Travel Time for Match (hours),Stage Travel Total (hours),Competition Travel Total (hours)
Algeria,Rabat,Group Stage,E1,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,0.0
Algeria,Rabat,Group Stage,E2,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,0.0
Algeria,Rabat,Group Stage,E3,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,0.0
Algeria,Rabat,Round of 16,R16_7,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,0.0
Algeria,Rabat,Quarterfinal,QF_4,Prince Moulay Abdellah Sports Complex,Rabat,0.0,0.0,0.0
Angola,Marrakesh,Group Stage,B1,Grand Stadium of Marrakesh,Marrakesh,0.0,5.24,5.24
Angola,Marrakesh,Group Stage,B2,Grand Stadium of Agadir,Agadir,5.24,5.24,5.24
Angola,Marrakesh,Group Stage,B3,Grand Stadium of Marrakesh,Marrakesh,0.0,5.24,5.24
Benin,Rabat,Group Stage,D2,Grand Stadium of Tangier,Tangier,5.66,5.66,16.8
Benin,Rabat,Group Stage,D4,Prince Moulay Abdellah Sports Complex,Rabat,0.0,5.66,16.8
Benin,Rabat,Group Stage,D6,Prince Moulay Abdellah Sports Complex,Rabat,0.0,5.66,16.8
Benin,Rabat,Round of 16,R16_5,Grand Stadium of Agadir,Agadir,11.14,11.14,16.8
Botswana,Rabat,Group Stage,D3,Grand Stadium of Tangier,Tangier,5.66,5.66,5.66
Botswana,Rabat,Group Stage,D5,Prince Moulay Abdellah Sports Complex,Rabat,0.0,5.66,5.66
Botswana,Rabat,Group Stage,D6,Prince Moulay Abdellah Sports Complex,Rabat,0.0,5.66,5.66
Burkina Faso,Casablanca,Group Stage,E1,Prince Moulay Abdellah Sports Complex,Rabat,2.74,2.74,2.74
Burkina Faso,Casablanca,Group Stage,E4,Mohammed V Complex,Casablanca,0.0,2.74,2.74
Burkina Faso,Casablanca,Group Stage,E5,Mohammed V Complex,Casablanca,0.0,2.74,2.74
Burkina Faso,Casablanca,Round of 16,R16_8,Mohammed V Complex,Casablanca,0.0,0.0,2.74
Cameroon,Agadir,Group Stage,F1,Grand Stadium of Agadir,Agadir,0.0,0.0,11.14
Cameroon,Agadir,Group Stage,F4,Grand Stadium of Agadir,Agadir,0.0,0.0,11.14
Cameroon,Agadir,Group Stage,F5,Grand Stadium of Agadir,Agadir,0.0,0.0,11.14
Cameroon,Agadir,Round of 16,R16_4,Grand Stadium of Agadir,Agadir,0.0,0.0,11.14
Cameroon,Agadir,Quarterfinal,QF_3,Prince Moulay Abdellah Sports Complex,Rabat,11.14,11.14,11.14
Comoros,Casablanca,Group Stage,A3,Prince Moulay Abdellah Sports Complex,Rabat,2.74,2.74,2.74
Comoros,Casablanca,Group Stage,A5,Mohammed V Complex,Casablanca,0.0,2.74,2.74
Comoros,Casablanca,Group Stage,A6,Mohammed V Complex,Casablanca,0.0,2.74,2.74
Congo,Rabat,Group Stage,D1,Grand Stadium of Tangier,Tangier,5.66,5.66,5.66
